ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,years,Kolipakam2018
posterior-1,STATE_81940000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-2,STATE_62685000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-3,STATE_23435000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-4,STATE_51745000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-5,STATE_40185000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-6,STATE_67840000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-7,STATE_92765000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-8,STATE_17530000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-9,STATE_31395000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-10,STATE_82205000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-11,STATE_37630000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-12,STATE_38360000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-13,STATE_86070000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-14,STATE_49685000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-15,STATE_40475000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-16,STATE_27440000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-17,STATE_60515000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-18,STATE_24665000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-19,STATE_97090000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-20,STATE_50255000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-21,STATE_47910000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-22,STATE_44525000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-23,STATE_55790000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-24,STATE_81360000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-25,STATE_37555000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-26,STATE_88285000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-27,STATE_16055000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-28,STATE_76910000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-29,STATE_74185000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-30,STATE_46350000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-31,STATE_31855000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-32,STATE_36845000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-33,STATE_72730000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-34,STATE_30025000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-35,STATE_15045000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-36,STATE_52100000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-37,STATE_90285000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-38,STATE_81860000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-39,STATE_62745000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-40,STATE_70075000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-41,STATE_54635000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-42,STATE_44065000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-43,STATE_33460000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-44,STATE_23895000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-45,STATE_87840000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-46,STATE_64805000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-47,STATE_91275000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-48,STATE_33115000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-49,STATE_18260000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-50,STATE_23675000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-51,STATE_16905000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-52,STATE_60165000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-53,STATE_72875000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-54,STATE_98220000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-55,STATE_76800000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-56,STATE_22275000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-57,STATE_16480000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-58,STATE_62495000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-59,STATE_72080000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-60,STATE_88325000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-61,STATE_48495000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-62,STATE_28965000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-63,STATE_37475000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-64,STATE_16255000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-65,STATE_60455000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-66,STATE_72095000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-67,STATE_95455000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-68,STATE_46080000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-69,STATE_59655000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-70,STATE_93785000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-71,STATE_27420000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-72,STATE_99285000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-73,STATE_61705000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-74,STATE_47260000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-75,STATE_69520000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-76,STATE_90890000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-77,STATE_47760000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-78,STATE_91200000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-79,STATE_54335000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-80,STATE_49500000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-81,STATE_91305000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-82,STATE_88665000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-83,STATE_62830000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-84,STATE_32705000,posterior.trees,,sample,bayesian,years,Kolipakam2018
