Site,Label
1,char_0_
2,char_1_
3,char_2_thou
4,char_3_thou
5,char_4_we
6,char_5_we
7,char_6_we
8,char_7_this
9,char_8_this
10,char_9_this
11,char_10_this
12,char_11_that
13,char_12_that
14,char_13_that
15,char_14_who
16,char_15_who
17,char_16_who
18,char_17_who
19,char_18_who
20,char_19_what
21,char_20_what
22,char_21_not
23,char_22_not
24,char_23_not
25,char_24_not
26,char_25_not
27,char_26_not
28,char_27_not
29,char_28_not
30,char_29_not
31,char_30_not
32,char_31_all
33,char_32_all
34,char_33_all
35,char_34_all
36,char_35_all
37,char_36_all
38,char_37_all
39,char_38_all
40,char_39_all
41,char_40_all
42,char_41_all
43,char_42_all
44,char_43_all
45,char_44_all
46,char_45_all
47,char_46_all
48,char_47_many
49,char_48_many
50,char_49_many
51,char_50_many
52,char_51_many
53,char_52_many
54,char_53_many
55,char_54_many
56,char_55_many
57,char_56_many
58,char_57_many
59,char_58_many
60,char_59_many
61,char_60_many
62,char_61_many
63,char_62_many
64,char_63_many
65,char_64_many
66,char_65_many
67,char_66_many
68,char_67_one
69,char_68_one
70,char_69_one
71,char_70_two
72,char_71_two
73,char_72_two
74,char_73_two
75,char_74_two
76,char_75_two
77,char_76_big
78,char_77_big
79,char_78_big
80,char_79_big
81,char_80_big
82,char_81_big
83,char_82_big
84,char_83_big
85,char_84_big
86,char_85_big
87,char_86_big
88,char_87_long
89,char_88_long
90,char_89_long
91,char_90_long
92,char_91_long
93,char_92_long
94,char_93_long
95,char_94_long
96,char_95_small
97,char_96_small
98,char_97_small
99,char_98_small
100,char_99_small
101,char_100_small
102,char_101_small
103,char_102_small
104,char_103_small
105,char_104_small
106,char_105_small
107,char_106_woman
108,char_107_woman
109,char_108_woman
110,char_109_woman
111,char_110_woman
112,char_111_woman
113,char_112_woman
114,char_113_woman
115,char_114_woman
116,char_115_woman
117,char_116_woman
118,char_117_woman
119,char_118_woman
120,char_119_woman
121,char_120_woman
122,char_121_woman
123,char_122_woman
124,char_123_woman
125,char_124_woman
126,char_125_man
127,char_126_man
128,char_127_man
129,char_128_man
130,char_129_man
131,char_130_man
132,char_131_man
133,char_132_man
134,char_133_man
135,char_134_man
136,char_135_man
137,char_136_man
138,char_137_man
139,char_138_man
140,char_139_man
141,char_140_man
142,char_141_man
143,char_142_man
144,char_143_man
145,char_144_person
146,char_145_person
147,char_146_person
148,char_147_person
149,char_148_person
150,char_149_person
151,char_150_person
152,char_151_person
153,char_152_bird
154,char_153_bird
155,char_154_bird
156,char_155_bird
157,char_156_bird
158,char_157_bird
159,char_158_bird
160,char_159_bird
161,char_160_bird
162,char_161_bird
163,char_162_dog
164,char_163_dog
165,char_164_dog
166,char_165_dog
167,char_166_dog
168,char_167_dog
169,char_168_louse
170,char_169_louse
171,char_170_louse
172,char_171_louse
173,char_172_louse
174,char_173_louse
175,char_174_louse
176,char_175_tree
177,char_176_tree
178,char_177_tree
179,char_178_tree
180,char_179_tree
181,char_180_tree
182,char_181_seed
183,char_182_seed
184,char_183_seed
185,char_184_seed
186,char_185_seed
187,char_186_seed
188,char_187_seed
189,char_188_leaf
190,char_189_leaf
191,char_190_leaf
192,char_191_leaf
193,char_192_leaf
194,char_193_leaf
195,char_194_leaf
196,char_195_leaf
197,char_196_leaf
198,char_197_root
199,char_198_root
200,char_199_root
201,char_200_root
202,char_201_root
203,char_202_root
204,char_203_root
205,char_204_bark
206,char_205_bark
207,char_206_bark
208,char_207_bark
209,char_208_bark
210,char_209_bark
211,char_210_bark
212,char_211_bark
213,char_212_bark
214,char_213_bark
215,char_214_bark
216,char_215_bark
217,char_216_bark
218,char_217_bark
219,char_218_bark
220,char_219_skin
221,char_220_skin
222,char_221_skin
223,char_222_skin
224,char_223_skin
225,char_224_skin
226,char_225_meat
227,char_226_meat
228,char_227_meat
229,char_228_meat
230,char_229_meat
231,char_230_meat
232,char_231_meat
233,char_232_meat
234,char_233_meat
235,char_234_meat
236,char_235_meat
237,char_236_meat
238,char_237_meat
239,char_238_meat
240,char_239_blood
241,char_240_blood
242,char_241_blood
243,char_242_blood
244,char_243_blood
245,char_244_blood
246,char_245_blood
247,char_246_bone
248,char_247_bone
249,char_248_bone
250,char_249_bone
251,char_250_bone
252,char_251_bone
253,char_252_bone
254,char_253_bone
255,char_254_fat
256,char_255_fat
257,char_256_fat
258,char_257_fat
259,char_258_fat
260,char_259_fat
261,char_260_fat
262,char_261_fat
263,char_262_fat
264,char_263_fire
265,char_264_fire
266,char_265_fire
267,char_266_fire
268,char_267_fire
269,char_268_fire
270,char_269_fire
271,char_270_fire
272,char_271_fire
273,char_272_fire
274,char_273_fire
275,char_274_fire
276,char_275_egg
277,char_276_egg
278,char_277_egg
279,char_278_egg
280,char_279_egg
281,char_280_egg
282,char_281_egg
283,char_282_egg
284,char_283_egg
285,char_284_egg
286,char_285_egg
287,char_286_egg
288,char_287_egg
289,char_288_horn
290,char_289_horn
291,char_290_horn
292,char_291_horn
293,char_292_horn
294,char_293_horn
295,char_294_tail
296,char_295_tail
297,char_296_tail
298,char_297_tail
299,char_298_tail
300,char_299_tail
301,char_300_tail
302,char_301_feather
303,char_302_feather
304,char_303_feather
305,char_304_feather
306,char_305_feather
307,char_306_feather
308,char_307_feather
309,char_308_feather
310,char_309_feather
311,char_310_feather
312,char_311_feather
313,char_312_feather
314,char_313_feather
315,char_314_fish
316,char_315_fish
317,char_316_fish
318,char_317_fish
319,char_318_fish
320,char_319_fish
321,char_320_fish
322,char_321_hair
323,char_322_hair
324,char_323_hair
325,char_324_hair
326,char_325_hair
327,char_326_hair
328,char_327_hair
329,char_328_hair
330,char_329_hair
331,char_330_hair
332,char_331_hair
333,char_332_hair
334,char_333_hair
335,char_334_hair
336,char_335_head
337,char_336_head
338,char_337_head
339,char_338_head
340,char_339_head
341,char_340_head
342,char_341_ear
343,char_342_ear
344,char_343_ear
345,char_344_ear
346,char_345_eye
347,char_346_eye
348,char_347_eye
349,char_348_eye
350,char_349_claw
351,char_350_claw
352,char_351_claw
353,char_352_claw
354,char_353_claw
355,char_354_claw
356,char_355_claw
357,char_356_nose
358,char_357_nose
359,char_358_nose
360,char_359_nose
361,char_360_nose
362,char_361_nose
363,char_362_mouth
364,char_363_mouth
365,char_364_mouth
366,char_365_mouth
367,char_366_mouth
368,char_367_mouth
369,char_368_mouth
370,char_369_mouth
371,char_370_mouth
372,char_371_tooth
373,char_372_tooth
374,char_373_tooth
375,char_374_tooth
376,char_375_tongue
377,char_376_tongue
378,char_377_tongue
379,char_378_tongue
380,char_379_tongue
381,char_380_foot
382,char_381_foot
383,char_382_foot
384,char_383_foot
385,char_384_foot
386,char_385_foot
387,char_386_foot
388,char_387_foot
389,char_388_foot
390,char_389_foot
391,char_390_knee
392,char_391_knee
393,char_392_knee
394,char_393_knee
395,char_394_knee
396,char_395_knee
397,char_396_knee
398,char_397_knee
399,char_398_knee
400,char_399_knee
401,char_400_hand
402,char_401_hand
403,char_402_hand
404,char_403_hand
405,char_404_belly
406,char_405_belly
407,char_406_belly
408,char_407_belly
409,char_408_belly
410,char_409_belly
411,char_410_belly
412,char_411_belly
413,char_412_belly
414,char_413_belly
415,char_414_belly
416,char_415_belly
417,char_416_neck
418,char_417_neck
419,char_418_neck
420,char_419_neck
421,char_420_neck
422,char_421_neck
423,char_422_neck
424,char_423_neck
425,char_424_neck
426,char_425_neck
427,char_426_neck
428,char_427_neck
429,char_428_neck
430,char_429_breast
431,char_430_breast
432,char_431_breast
433,char_432_breast
434,char_433_breast
435,char_434_breast
436,char_435_breast
437,char_436_breast
438,char_437_breast
439,char_438_breast
440,char_439_breast
441,char_440_breast
