item                                mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                           -4157.69 0.252251 9.496661 -4157.47 -4176.26 -4139.32 63502.40 1417.347 NaN     
likelihood                          -3973.31 0.244401 8.97082  -3973.05 -3991.02 -3956.29 66804.89 1347.281 NaN     
prior                               -184.385 0.067743 3.37873  -184.104 -191.330 -178.093 36181.92 2487.567 NaN     
TreeHeight.t:tree                   4650.358 19.40949 1164.237 4433.066 2812.070 7062.879 25015.66 3597.946 4519.358
bcov_alpha.s:drav                   0.099986 0.004758 0.095388 0.075493 0.00023  0.270918 223968.3 401.8648 0.063235
bcov_s.s:drav                       0.558125 0.00766  0.263435 0.526861 0.15993  1.016326 76107.84 1182.598 0.503044
YuleModel.t:drav                    -124.234 0.060234 3.191003 -124.003 -130.548 -118.065 32069.96 2806.520 NaN     
birthRate.t:drav                    0.000464 1.69E-6  0.000129 0.000452 0.000224 0.000715 15618.27 5762.800 0.000447
frequencies.s:drav1                 0.962514 0.000111 0.003786 0.962545 0.955537 0.970271 77774.93 1157.249 0.962506
frequencies.s:drav2                 0.037486 0.000111 0.003786 0.037455 0.029729 0.044463 77774.93 1157.249 0.037293
ucldStdev.c:drav                    0.918403 0.003744 0.181778 0.895926 0.599976 1.277187 38186.05 2357.012 0.901366
rate.c:clock.mean                   4.77E-5  2.93E-7  1.08E-5  4.67E-5  2.78E-5  6.93E-5  66862.49 1346.120 4.65E-5 
rate.c:clock.variance               3.12E-9  7.03E-11 3.23E-9  2.24E-9  3.33E-10 8.09E-9  42703.70 2107.662 2.35E-9 
rate.c:clock.coefficientOfVariation 1.020583 0.003211 0.197411 0.995202 0.67119  1.413341 23806.98 3780.612 1.002751
mrcatime(North)                     1872.140 3.312475 303.9545 1942.785 1271.062 2249.992 10689.43 8419.998 1843.186
logP(mrca(SouthII))                 -8.95544 2.24E-6  4.78E-6  -8.95544 -8.95544 -8.95544 19831262 4.538541 NaN     
mrcatime(SouthII)                   2723.385 7.631945 520.1904 2559.907 2250.033 3733.719 19373.68 4645.733 2683.755
mrcatime(SouthI)                    2541.854 16.43392 746.5997 2409.580 1401.169 3940.280 43608.73 2063.921 2445.738
monophyletic(SouthI+II)             0.002944 0.000409 0.054181 0        0        0        5130.177 17544.22 NaN     
mrcatime(SouthI+II)                 4230.310 17.08116 1044.711 4014.676 2654.271 6351.015 24060.75 3740.739 4116.985
monophyletic(mal)                   1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(mal))                     -5.99146 NaN      NaN      -5.99146 -5.99146 -5.99146 5000     18001    NaN     
mrcatime(mal.originate)             998.9270 0.38265  49.49733 999.1333 902.8615 1096.396 5379.049 16732.50 997.6970
monophyletic(brh)                   1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(brh))                     -7.71868 NaN      NaN      -7.71868 -7.71868 -7.71868 5000     18001    NaN     
mrcatime(brh.originate)             1871.407 3.299599 303.3131 1942.191 1272.603 2249.992 10651.39 8450.066 1842.471
monophyletic(kan-tul)               0.038776 0.001676 0.19306  0        0        0        6782.465 13270.24 NaN     
logP(mrca(kan-tul))                 -9.07107 2.29E-6  4.6E-6   -9.07107 -9.07107 -9.07107 22181714 4.057621 NaN     
mrcatime(kan-tul)                   2358.396 8.800015 621.5950 2342.054 1300.004 3448.035 18039.24 4989.399 2283.288
monophyletic(tel)                   1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(tel))                     -9.05951 2.6E-6   5.39E-6  -9.05951 -9.05951 -9.05951 20923216 4.301681 NaN     
mrcatime(tel.originate)             2116.197 11.86198 647.7691 1942.529 1400.084 3371.985 30181.51 2982.123 2036.422
ucldMean.c:clock                    5.34E-5  6.07E-7  2.03E-5  4.91E-5  2.44E-5  9.04E-5  80813.92 1113.731 5.05E-5 
